Listing Name,Price,Room Type,Reviews,Location
Beautiful modern Brooklyn apt,206,Entire home/apt,11 reviews,"Boerum Hill, Brooklyn"
Cozy Carroll Gardens Brownstone Apt,212,Entire home/apt,46 reviews,"Carroll Gardens, Brooklyn"
Top Fl Garden View Private Apt.,175,Entire home/apt,52 reviews,"Crown Heights, Brooklyn"
Perfect in Park Slope: EZ 2 NYC,181,Entire home/apt,10 reviews,"Park Slope, Brooklyn"
Charm & Beauty close to Manhattan,120,Entire home/apt,27 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful Space in Brooklyn Heights,242,Entire home/apt,5 reviews,"Brooklyn Heights, Brooklyn"
Private Room in South Williamsburg for an Amazing NYC Experience!,126,Private room,31 reviews,"Williamsburg, Brooklyn"
Park Slope livingroom/bedroom/bath,168,Private room,53 reviews,"Park Slope, Brooklyn"
"Cozy, spacious & convenient 1 BR :)",91,Private room,18 reviews,Brooklyn
big riverside 1bedrm williamsburg!,278,Entire home/apt,5 reviews,Brooklyn
The Library Loft's White Room,60,Private room,10 reviews,"Williamsburg, Brooklyn"
Romantic Brooklyn Garden Apt,212,Entire home/apt,17 reviews,"Fort Greene, Brooklyn"
Bedroom//Hip Neighborhood//Backyard,48,Private room,63 reviews,"Bushwick, Brooklyn"
Spacious Flat in Williamsburg,241,Entire home/apt,10 reviews,Brooklyn
360° Views - Modern Greenpoint Gem!,224,Entire home/apt,4 reviews,Brooklyn
"Brooklyn Brownstone, Private Room",103,Private room,72 reviews,"Prospect Heights, Brooklyn"
Cozy Carroll Gardens Brownstone Apt,212,Entire home/apt,46 reviews,"Carroll Gardens, Brooklyn"
1 Bedroom Brownstone Jewel Box,120,Entire home/apt,7 reviews,"Clinton Hill, Brooklyn"
Charming Cobble Hill apartment!,121,Private room,24 reviews,"Carroll Gardens, Brooklyn"
cozy sunny 1bedroom/kitchen/wc,169,Entire home/apt,2 reviews,Brooklyn
Williamsburg house w/huge garden,423,Entire home/apt,4 reviews,Brooklyn
"Cozy 1 bdrm Park Slope, Brooklyn,",121,Entire home/apt,2 reviews,Brooklyn
GREAT DUPLEX Central Williamsburg,266,Entire home/apt,27 reviews,"Williamsburg, Brooklyn"
Private room in a brownstone,97,Private room,10 reviews,Brooklyn
Spacious room in cozy Boerum Hill,109,Private room,70 reviews,"Boerum Hill, Brooklyn"
Sunny Room in Classic Artist's Loft,103,Private room,39 reviews,"Greenpoint, Brooklyn"
"LARGE PRIVATE FLOOR IN BROOKLYN, NY",121,Entire home/apt,78 reviews,"Bedford-Stuyvesant, Brooklyn"
"Cozy room, overlooking garden",79,Private room,12 reviews,Brooklyn
"Great room in Williamsburg, NY !",85,Private room,2 reviews,"Williamsburg, Brooklyn"
**Entire 2br Apt in Doorman Bldg!**,108,Entire home/apt,1 review,Brooklyn
East Williamsburg Artist Loft,60,Private room,9 reviews,Brooklyn
Prime Williamsburg Loft off Bedford,144,Private room,45 reviews,"Williamsburg, Brooklyn"
Cozy Room in Charming Brownstone,67,Private room,15 reviews,"Sunset Park, Brooklyn"
Sunny room in modern apartment,97,Private room,7 reviews,Brooklyn
NYC-Brooklyn #4 18 min to Manhattan,47,Private room,63 reviews,"Bedford-Stuyvesant, Brooklyn"
